abyssalburial	Abyssal Burial	Water/Rock	Lowers Users Special Attack by 2 Stages
acrobaticpounce	Acrobatic Pounce	Electric	Doubles Damage if no Held item
anchordrop	Anchor Drop	Flying	Deals rock type damage and user is profiting from fieldeffects until switched out also in not grounded
anothercup	Another Cup	Fairy	Damage is doubled, if target was allready hit by water type attack this turn
antennapulse	Antenna Pulse	Steel/Electric	Always Hits and has +1 Priority if super effective against target
apexsever	Apex Sever	Bug	Lowers Defense and Sp.Def of user by 1
athenasgaze	Athenas Gaze	Grass/Flying	Accuracy and Crit Ratio is Boosted by 2 but normalises after 3 Turns
baitingspirit	Baiting Spirit	Ghost	It locks the target into using its highest-damage attacking move for the next 3 turns
baloonbounce	Baloon Bounce	Flying	Deals more Damage the less weight the target has. Min ¼× and Max. 4× basedamage
barbedcounter	Barbed Counter	Electric	+3 Priority. Attack will fail if try to use 2 times in a row. User cant fall under 1 hp in the turn it uses it and if he takes damage by a physical move, he counter attacks with double the damage recieved and his typing as type directly after getting hit
barrierbreak	Barrierbreak	Psychic/Dark	Deals acts as if enemies sp.def stat change is always negative or neutral also if it was positiv. As if enemy sp.def stat change = -|sp.def stat change|
berryburst	Berry Burst	Poison/Grass	Badly Poisons Poisoned Enemies. Confuses Badly Poisoned Enemies
bittertears	Bitter Tears	Poison/Grass	Lowers Targets Attack and Poisones them
bogslam	Bog Slam	Grass/Ground	If Users current Defense is higher then Opponents, deals 50% more Damage
boilingsplash	Boiling Splash	Water/Fire	Water type Attack but also Super effective against types that are weak to fire(bug, grass, steel, ice)
bonewhip	Bone Whip	Ground	Deals Damage ground type and is Super Effective against Ghost Type Pokemon
bramblegown	Bramble Gown	Poison/Grass	Boosts Def and Sp.Def by 1 and Attackers Hitting it with contact moves afterwards this round loose ⅛ max.Hp
brickshelter	Brick Shelter	Rock	Protect Move. Lowers Enemy Attack if hit by physical move or Sp.Atk if hit by Special move
bulboverload	Bulb Overload	Steel	Paralyses 30%
bytepunch	Bytepunch	Ghost/Electric	no effects
celestialthunderbolt	Celestial Thunderbolt	Dragon/Electric	Always Hits in Rain
cementpour	Cement Pour	Rock	Lowers the target's Speed by two stages and removes their airborne status (grounding Flying-types or Pokémon with Levitate)
chainreaction	Chain Reaction	Dark	Hits 2 to 3 times and doubles damage with every hit in a row
claritygeyser	Clarity Geyser	Water/Poison	Special Attack with Priority and doubles damage if target is poisoned
clearvitriolic	Clear Vitriolic	Water/Poison	Damage+Clears Entry hazards on fieldside
clearweatherburst	Clear Weather Burst	Flying	Boosts Speed of Parter ans itself by 1
cocoonspin	Cocoon Spin	Bug	30% Chance to Lower Targets Defense. Lowers Users Defense
cocorefresh	Coco Refresh	Grass	Heals user by 50% max.Hp. If used in sunlight also heals Partner by 25% max.Hp
codebreaker	Codebreaker	Steel/Electric	Target cant use Protect moves for 5 turns
coldflamebeam	Cold Flamebeam	Fire/Ice	Fire Type, Freeze 30%
condordive	Condor Dive	Flying/Normal	User looses 25% of max. Hp but cant fall under 1 hp by using this attack. High damage
